fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,quality_label,wine_type,alcohol_g_per_L,acidity_to_alcohol_ratio,SO2_ratio,alc_acid_ratio,density_to_sugar_ratio
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,low,red,74.166,0.09977617776339563,32.35294117647059,127.02702702702702,0.5251578947368422
7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,5,low,red,77.322,0.10087685264219756,37.3134328358209,125.64102564102566,0.3833846153846154
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,5,low,red,77.322,0.10087685264219756,27.77777777777778,125.64102564102566,0.43347826086956526
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,6,medium,red,77.322,0.14484881405033495,28.333333333333332,87.50000000000001,0.5252631578947369
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,low,red,74.166,0.09977617776339563,32.35294117647059,127.02702702702702,0.5251578947368422
7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,5,low,red,74.166,0.09977617776339563,32.5,127.02702702702702,0.5543333333333333
7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,5,low,red,74.166,0.1065178113960575,25.423728813559322,118.9873417721519,0.6227499999999999
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,7,medium,red,78.9,0.09252217997465145,71.42857142857143,136.986301369863,0.8288333333333334
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,7,medium,red,74.955,0.10406243746247748,50.0,121.79487179487181,0.4984
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5,low,red,82.845,0.09053050878145935,16.666666666666664,140.0,0.1635737704918033
6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54,9.2,5,low,red,72.58800000000001,0.09230175786631398,23.076923076923077,137.3134328358209,0.5532777777777778
