fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,quality_label,wine_type,alcohol_g_per_L,acidity_to_alcohol_ratio,SO2_ratio,alc_acid_ratio,density_to_sugar_ratio,sugar_to_sulfur
7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,6,medium,white,69.432,0.10081806659753427,26.47058823529412,125.71428571428574,0.04835748792270531,0.12176470588235294
6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,3.3,0.49,9.5,6,medium,white,74.955,0.0840504302581549,10.606060606060606,150.79365079365078,0.62125,0.012121212121212121
8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,6,medium,white,79.68900000000001,0.10164514550314345,30.927835051546392,124.69135802469135,0.14421739130434783,0.0711340206185567
7.2,0.23,0.32,8.5,0.058,47.0,186.0,0.9956,3.19,0.4,9.9,6,medium,white,78.111,0.09217651803203133,25.268817204301076,137.5,0.11712941176470588,0.0456989247311828
7.2,0.23,0.32,8.5,0.058,47.0,186.0,0.9956,3.19,0.4,9.9,6,medium,white,78.111,0.09217651803203133,25.268817204301076,137.5,0.11712941176470588,0.0456989247311828
8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,6,medium,white,79.68900000000001,0.10164514550314345,30.927835051546392,124.69135802469135,0.14421739130434783,0.0711340206185567
6.2,0.32,0.16,7.0,0.045,30.0,136.0,0.9949,3.18,0.47,9.6,6,medium,white,75.744,0.0818546683565695,22.058823529411764,154.83870967741936,0.14212857142857144,0.051470588235294115
7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,6,medium,white,69.432,0.10081806659753427,26.47058823529412,125.71428571428574,0.04835748792270531,0.12176470588235294
6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,3.3,0.49,9.5,6,medium,white,74.955,0.0840504302581549,10.606060606060606,150.79365079365078,0.62125,0.012121212121212121
8.1,0.22,0.43,1.5,0.044,28.0,129.0,0.9938,3.22,0.45,11.0,6,medium,white,86.79,0.09332872450743172,21.705426356589147,135.80246913580248,0.6625333333333333,0.011627906976744186
8.1,0.27,0.41,1.45,0.033,11.0,63.0,0.9908,2.99,0.56,12.0,5,low,white,94.68,0.08555133079847908,17.46031746031746,148.14814814814815,0.6833103448275862,0.023015873015873014
8.6,0.23,0.4,4.2,0.035,17.0,109.0,0.9947,3.14,0.53,9.7,5,low,white,76.533,0.11236982739471861,15.59633027522936,112.79069767441861,0.23683333333333334,0.03853211009174312
7.9,0.18,0.37,1.2,0.04,16.0,75.0,0.992,3.18,0.63,10.8,5,low,white,85.212,0.09270994695582782,21.333333333333336,136.70886075949366,0.8266666666666667,0.016
